,budget,gross,profit,votes,IMDb score,clusters,cluster
317,20500000.0,78350.0,-20421650.0,1800.0,7.1,0,salmon colored
318,20500000.0,12408066.0,-8091934.0,838.0,5.1,0,salmon colored
319,19000000.0,2279543.0,-16720457.0,653.0,3.9,0,salmon colored
320,20500000.0,6968359.0,-13531641.0,895.0,6.2,0,salmon colored
321,20500000.0,3783329.0,-16716671.0,1300.0,7.2,0,salmon colored
322,20500000.0,3355948.0,-17144052.0,460.0,6.1,0,salmon colored
323,20500000.0,22440.0,-20477560.0,665.0,5.8,0,salmon colored
324,20500000.0,20205757.0,-294243.0,352.0,6.8,0,salmon colored
325,20500000.0,5124391.0,-15375609.0,256.0,6.3,0,salmon colored
326,20500000.0,20205757.0,-294243.0,253.0,5.7,0,salmon colored
327,10000.0,20205757.0,20195757.0,651.0,3.8,0,salmon colored
328,20500000.0,20205757.0,-294243.0,240.0,7.0,0,salmon colored
329,435000.0,20205757.0,19770757.0,75.0,6.7,0,salmon colored
330,20500000.0,777087.0,-19722913.0,336.0,6.8,0,salmon colored
331,25000000.0,65884703.0,40884703.0,766000.0,8.3,0,salmon colored
332,10000000.0,25697647.0,15697647.0,78000.0,7.1,0,salmon colored
333,32500000.0,475106177.0,442606177.0,973000.0,8.3,2,dark purple
334,6200000.0,63541777.0,57341777.0,83000.0,6.8,0,salmon colored
335,15000000.0,61399552.0,46399552.0,100000.0,7.4,0,salmon colored
336,15000000.0,90404800.0,75404800.0,141000.0,7.5,0,salmon colored
337,39000000.0,59950623.0,20950623.0,66000.0,5.0,0,salmon colored
338,8000000.0,56399659.0,48399659.0,34000.0,7.2,0,salmon colored
339,22000000.0,64892670.0,42892670.0,15000.0,4.7,0,salmon colored
340,20500000.0,87987055.0,67487055.0,41000.0,3.7,0,salmon colored
341,9700000.0,21017849.0,11317849.0,75000.0,6.7,0,salmon colored
342,350000.0,20205757.0,19855757.0,28000.0,6.3,0,salmon colored
343,4000000.0,92921203.0,88921203.0,50000.0,6.2,0,salmon colored
344,12000000.0,79567667.0,67567667.0,93000.0,7.1,0,salmon colored
345,27000000.0,21192315.0,-5807685.0,57000.0,7.8,0,salmon colored
346,47000000.0,16916617.0,-30083383.0,31000.0,6.1,0,salmon colored
347,20500000.0,24071666.0,3571666.0,2800.0,4.9,0,salmon colored
348,10000000.0,20766616.0,10766616.0,65000.0,7.2,0,salmon colored
349,27500000.0,67893619.0,40393619.0,98000.0,6.5,0,salmon colored
350,3500000.0,14049540.0,10549540.0,6100.0,5.3,0,salmon colored
351,350000.0,17343596.0,16993596.0,14000.0,6.4,0,salmon colored
352,10000000.0,2494480.0,-7505520.0,32000.0,7.2,0,salmon colored
353,5952000.0,2120439.0,-3831561.0,86000.0,7.2,0,salmon colored
